Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,FirstName,LastName,ADEmail,Phone number
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,Myriam,Givens,myriam.givens@gmail.com,+1784-322-1280
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,PayPal,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,Dheepa,Nguyen,dheepa.nguyen@gmail.com,+1901-199-8079
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,PayPal,Express,Yes,Yes,37,Venmo,Fortnightly,Bartholemew,Khemmich,bartholemew.khemmich@gmail.com,+1295-998-2562
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Debit Card,Express,Yes,Yes,31,PayPal,Weekly,Xana,Potts,xana.potts@gmail.com,+1512-346-4107
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,PayPal,Free Shipping,Yes,Yes,34,Debit Card,Weekly,Prater,Jeremy,prater.jeremy@gmail.com,+1179-075-5662
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,Yes,8,PayPal,Monthly,Kaylah,Moon,kaylah.moon@gmail.com,+1342-648-1766
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Venmo,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,Kristen,Tate,kristen.tate@gmail.com,+1890-499-5926
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,Bobby,Rodgers,bobby.rodgers@gmail.com,+1639-541-8314
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,17,Cash,Weekly,Reid,Park,reid.park@gmail.com,+1676-977-4239
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Venmo,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,Hector,Dalton,hector.dalton@gmail.com,+1957-448-0219
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Credit Card,Express,Yes,Yes,50,Cash,Every 3 Months,Mariela,Schultz,mariela.schultz@gmail.com,+1676-151-2580
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,Angela,Molina,angela.molina@gmail.com,+1874-755-5181
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Cash,Store Pickup,Yes,Yes,32,Debit Card,Annually,Gerald,Preston,gerald.preston@gmail.com,+1112-075-5941
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Credit Card,Express,Yes,Yes,40,Credit Card,Weekly,Reilly,Moyer,reilly.moyer@gmail.com,+1493-377-2393
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Cash,Store Pickup,Yes,Yes,16,Debit Card,Weekly,Carlee,French,carlee.french@gmail.com,+1458-735-5703
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Bank Transfer,Express,Yes,Yes,14,PayPal,Annually,Jaydon,Blackburn,jaydon.blackburn@gmail.com,+1913-409-7554
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Cash,Next Day Air,Yes,Yes,13,Credit Card,Annually,Bridger,Carter,bridger.carter@gmail.com,+1652-507-4362
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5,Yes,Debit Card,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,Leon,Beard,leon.beard@gmail.com,+1425-804-8760
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Debit Card,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,Charity,Miranda,charity.miranda@gmail.com,+1865-081-4863
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Venmo,Store Pickup,Yes,Yes,14,Credit Card,Weekly,Axel,Howe,axel.howe@gmail.com,+1632-127-0828
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Bank Transfer,Standard,Yes,Yes,16,Credit Card,Monthly,Milton,Wall,milton.wall@gmail.com,+1606-629-3898
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Venmo,Store Pickup,Yes,Yes,45,Venmo,Monthly,Cory,Robinson,cory.robinson@gmail.com,+1387-051-7133
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Bank Transfer,Free Shipping,Yes,Yes,37,Venmo,Annually,Saniya,Yu,saniya.yu@gmail.com,+1743-736-1943
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly,Alisa,James,alisa.james@gmail.com,+1132-769-8577
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,Debit Card,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,Lincoln,Compton,lincoln.compton@gmail.com,+1517-291-3899
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,Aliana,Nolan,aliana.nolan@gmail.com,+1462-717-0740
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Cash,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,Kayden,Dodson,kayden.dodson@gmail.com,+1910-687-8880
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Debit Card,Store Pickup,Yes,Yes,10,PayPal,Weekly,James,Duke,james.duke@gmail.com,+1168-523-9051
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,Willow,Stuart,willow.stuart@gmail.com,+1244-615-2940
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Bank Transfer,Express,Yes,Yes,18,Credit Card,Monthly,Clayton,Walker,clayton.walker@gmail.com,+1305-564-1069
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,PayPal,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,Celia,Curtis,celia.curtis@gmail.com,+1181-513-7127
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Cash,Standard,Yes,Yes,40,Venmo,Annually,Valentin,Reilly,valentin.reilly@gmail.com,+1440-149-8282
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Bank Transfer,Free Shipping,Yes,Yes,15,PayPal,Annually,Ryland,Shepherd,ryland.shepherd@gmail.com,+1166-051-0791
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,PayPal,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,Esteban,Gilbert,esteban.gilbert@gmail.com,+1355-272-2267
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,45,PayPal,Weekly,Jonathan,Adkins,jonathan.adkins@gmail.com,+1772-929-9217
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,Venmo,2-Day Shipping,Yes,Yes,25,PayPal,Annually,Nevaeh,Soto,nevaeh.soto@gmail.com,+1182-492-0464
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly,Chaim,Mata,chaim.mata@gmail.com,+1744-063-3812
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Debit Card,Free Shipping,Yes,Yes,36,Cash,Weekly,Arely,Patton,arely.patton@gmail.com,+1372-080-0735
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Debit Card,Store Pickup,Yes,Yes,38,Cash,Monthly,Vance,Trujillo,vance.trujillo@gmail.com,+1861-552-6577
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,Charlie,Koch,charlie.koch@gmail.com,+1826-021-6399
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Cash,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,Sonny,Horne,sonny.horne@gmail.com,+1433-884-4986
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,PayPal,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,Thomas,Chandler,thomas.chandler@gmail.com,+1753-624-9507
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Credit Card,Free Shipping,Yes,Yes,26,Credit Card,Weekly,Sarai,Stone,sarai.stone@gmail.com,+1580-775-5783
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Debit Card,Next Day Air,Yes,Yes,35,Credit Card,Weekly,Jerimiah,Harmon,jerimiah.harmon@gmail.com,+1796-779-1834
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Bank Transfer,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,Leland,Allen,leland.allen@gmail.com,+1603-105-3501
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3,Yes,Venmo,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,Cristal,Bolton,cristal.bolton@gmail.com,+1817-705-3506
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,PayPal,Store Pickup,Yes,Yes,46,Credit Card,Weekly,Jaslene,Harding,jaslene.harding@gmail.com,+1309-569-6236
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,PayPal,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,Albert,Gonzalez,albert.gonzalez@gmail.com,+1895-328-1750
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Credit Card,Free Shipping,Yes,Yes,29,Venmo,Monthly,Jaiden,Johnson,jaiden.johnson@gmail.com,+1519-958-0321
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Debit Card,Standard,Yes,Yes,4,Debit Card,Weekly,Brendon,Mcconnell,brendon.mcconnell@gmail.com,+1445-042-1302
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4,Yes,Credit Card,Express,Yes,Yes,17,Cash,Weekly,Kimora,Parsons,kimora.parsons@gmail.com,+1112-838-7235
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Bank Transfer,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,Willie,Patterson,willie.patterson@gmail.com,+1865-633-6495
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Credit Card,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,Devyn,Powers,devyn.powers@gmail.com,+1978-419-6493
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,Credit Card,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,Weston,Preston,weston.preston@gmail.com,+1272-549-0255
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,PayPal,Standard,Yes,Yes,18,Debit Card,Fortnightly,Lennon,Buchanan,lennon.buchanan@gmail.com,+1314-114-5302
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,Vicente,Merritt,vicente.merritt@gmail.com,+1875-940-5856
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,Hugo,Clay,hugo.clay@gmail.com,+1982-716-9666
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,PayPal,Store Pickup,Yes,Yes,49,Debit Card,Monthly,Cohen,Raymond,cohen.raymond@gmail.com,+1187-968-8232
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Credit Card,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,Tia,Ellis,tia.ellis@gmail.com,+1454-183-6879
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Credit Card,Express,Yes,Yes,5,Cash,Weekly,Aspen,Bentley,aspen.bentley@gmail.com,+1473-424-9766
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Credit Card,Express,Yes,Yes,32,Debit Card,Every 3 Months,Graham,Rodriguez,graham.rodriguez@gmail.com,+1229-255-7004
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Debit Card,Express,Yes,Yes,34,Bank Transfer,Annually,Joel,Mcmillan,joel.mcmillan@gmail.com,+1693-116-7045
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Debit Card,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,Maci,Frost,maci.frost@gmail.com,+1659-032-4667
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,Nevaeh,Lucas,nevaeh.lucas@gmail.com,+1198-717-6748
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,PayPal,Express,Yes,Yes,3,Cash,Monthly,Garrett,Zimmerman,garrett.zimmerman@gmail.com,+1544-018-4565
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,21,Credit Card,Annually,Eugene,Marks,eugene.marks@gmail.com,+1727-266-9905
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Bank Transfer,Free Shipping,Yes,Yes,32,Venmo,Monthly,Geovanni,Pugh,geovanni.pugh@gmail.com,+1917-798-3348
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Debit Card,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,Javon,Kelley,javon.kelley@gmail.com,+1865-578-5460
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Venmo,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,Amaya,Hicks,amaya.hicks@gmail.com,+1515-299-3674
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,Laila,Woodard,laila.woodard@gmail.com,+1697-226-6945
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.3,Yes,Credit Card,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,Ivan,Huff,ivan.huff@gmail.com,+1567-491-4094
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,PayPal,Express,Yes,Yes,36,Credit Card,Every 3 Months,Aidan,Harding,aidan.harding@gmail.com,+1567-550-4242
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,Cruz,Boyer,cruz.boyer@gmail.com,+1307-620-9267
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Debit Card,Standard,Yes,Yes,34,Bank Transfer,Weekly,Raven,Koch,raven.koch@gmail.com,+1483-480-9727
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Cash,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,Karli,Barker,karli.barker@gmail.com,+1706-778-1346
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Credit Card,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,Tyrone,Sosa,tyrone.sosa@gmail.com,+1703-195-4184
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,Venmo,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,Damaris,Cisneros,damaris.cisneros@gmail.com,+1620-523-1368
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,Alexus,Estes,alexus.estes@gmail.com,+1641-101-8830
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Credit Card,Free Shipping,Yes,Yes,35,Credit Card,Monthly,Kinsley,Flowers,kinsley.flowers@gmail.com,+1544-807-3686
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,15,Cash,Quarterly,Deborah,Love,deborah.love@gmail.com,+1335-380-6222
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Venmo,Express,Yes,Yes,29,Credit Card,Monthly,Milagros,Francis,milagros.francis@gmail.com,+1535-527-1674
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,PayPal,Standard,Yes,Yes,18,Credit Card,Every 3 Months,Roberto,Michael,roberto.michael@gmail.com,+1420-434-1404
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,Cash,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,Elaine,Ewing,elaine.ewing@gmail.com,+1220-807-7622
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Weekly,Caiden,Munoz,caiden.munoz@gmail.com,+1434-362-4109
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,28,Credit Card,Weekly,Jocelyn,Bradford,jocelyn.bradford@gmail.com,+1276-457-9339
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,PayPal,Free Shipping,Yes,Yes,48,PayPal,Monthly,Marques,Armstrong,marques.armstrong@gmail.com,+1581-476-6137
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.6,Yes,Venmo,Express,Yes,Yes,43,Venmo,Every 3 Months,Rohan,Chapman,rohan.chapman@gmail.com,+1253-681-0513
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,PayPal,Store Pickup,Yes,Yes,37,Cash,Annually,Emmanuel,Franklin,emmanuel.franklin@gmail.com,+1460-248-4321
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,Clayton,Mccormick,clayton.mccormick@gmail.com,+1455-797-0579
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Cash,Express,Yes,Yes,33,Debit Card,Quarterly,Darius,Krause,darius.krause@gmail.com,+1131-877-8282
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,PayPal,Express,Yes,Yes,31,Cash,Fortnightly,Ahmed,Hawkins,ahmed.hawkins@gmail.com,+1655-933-2192
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Venmo,Express,Yes,Yes,50,Credit Card,Bi-Weekly,Kymani,Benjamin,kymani.benjamin@gmail.com,+1638-993-2875
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Credit Card,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,Callum,Mcdaniel,callum.mcdaniel@gmail.com,+1970-851-2407
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4,Yes,Debit Card,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,Zariah,Black,zariah.black@gmail.com,+1722-880-2218
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,Ronnie,Mayer,ronnie.mayer@gmail.com,+1347-029-9396
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,Marlon,Ford,marlon.ford@gmail.com,+1283-342-8382
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Cash,Standard,Yes,Yes,31,Credit Card,Monthly,Slade,Griffith,slade.griffith@gmail.com,+1217-774-0611
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Cash,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,Lee,Frye,lee.frye@gmail.com,+1352-316-1376
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Bank Transfer,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,Veronica,Rowe,veronica.rowe@gmail.com,+1559-042-2717
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,Aylin,Berg,aylin.berg@gmail.com,+1879-302-0445
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4,Yes,Bank Transfer,Standard,Yes,Yes,26,Venmo,Fortnightly,Neveah,Rowe,neveah.rowe@gmail.com,+1599-035-3363
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5,Yes,PayPal,Free Shipping,Yes,Yes,9,Credit Card,Annually,Keith,Baxter,keith.baxter@gmail.com,+1108-950-3139
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Credit Card,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,Chaz,Bruce,chaz.bruce@gmail.com,+1132-023-1094
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Debit Card,Next Day Air,Yes,Yes,20,PayPal,Quarterly,Maya,Mccann,maya.mccann@gmail.com,+1878-280-9938
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Venmo,Store Pickup,Yes,Yes,9,Cash,Weekly,Aaron,Weber,aaron.weber@gmail.com,+1677-977-0179
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Cash,Standard,Yes,Yes,48,Debit Card,Every 3 Months,Ellie,Gill,ellie.gill@gmail.com,+1919-253-7064
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,PayPal,Free Shipping,Yes,Yes,12,Venmo,Annually,Rayne,Kerr,rayne.kerr@gmail.com,+1829-280-3160
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Bank Transfer,Express,Yes,Yes,29,Cash,Fortnightly,Samara,Mcbride,samara.mcbride@gmail.com,+1842-361-4124
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,Ryann,Rubio,ryann.rubio@gmail.com,+1750-099-0352
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Debit Card,Express,Yes,Yes,44,Cash,Annually,Paris,Carr,paris.carr@gmail.com,+1647-242-8449
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4,Yes,PayPal,Express,Yes,Yes,32,Bank Transfer,Annually,Adriel,Wiggins,adriel.wiggins@gmail.com,+1307-062-5877
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Cash,Standard,Yes,Yes,11,Cash,Fortnightly,Sanaa,Glass,sanaa.glass@gmail.com,+1699-039-2313
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly,Ryan,Lynch,ryan.lynch@gmail.com,+1773-091-9079
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Debit Card,Free Shipping,Yes,Yes,46,Cash,Weekly,Charlie,Atkinson,charlie.atkinson@gmail.com,+1980-304-4151
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,PayPal,Next Day Air,Yes,Yes,50,PayPal,Annually,Emery,Roach,emery.roach@gmail.com,+1574-466-2372
126,49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Cash,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months,Harper,Ramos,harper.ramos@gmail.com,+1445-102-8583
